lumberjack lumberman timberman
bridget brigid
unjustifiable insupportable unwarrantable
acetonemia ketonemia ketosis
shellbark shagbark
jesuitism jesuitry
essentialness essentiality
undepicted unpictured
acephaly acephalia acephalism
pastil pastille troche
laborious backbreaking grueling gruelling labourious toilsome
whoremaster whoremonger
inexterminable inextirpable
puckish impish implike prankish
lifted upraised
sempstress dressmaker needlewoman seamstress
verbosely long-windedly windily wordily
squatty low-set stumpy
straightlaced priggish prudish straitlaced tight-laced
tinkling tinkly
polypropylene polypropene
expound expatiate
dexterous dextrous
spelaeology speleology
salience saliency
lifter weightlifter
sangaree sangria
everlastingly eternally
salvadoran salvadorean
landrover jeep
wifely uxorial wifelike
directivity directionality
learnedness eruditeness erudition
saliency salience
shyly bashfully timidly
elfish elvish
venally deceitfully dishonestly
puckishly impishly
dourly glumly sullenly
unartistic inartistic
hitherto heretofore
manufactory factory
creatine creatin
psychiatry psychopathology
zubird zu
waterlessness dryness
jesting jocose joking
tessin ticino
astonied amazed astonished astounded
wiggling squirming wriggling wriggly writhing
mater mom momma mommy
paresthesia paraesthesia
whence wherefrom
slickly glibly
samiel simoom simoon
archaeopteryx archeopteryx
matey pally palsy-walsy
amiableness affability affableness bonhomie geniality
coexistent coexisting
hero-worship idolize
aper copycat
tuba sousaphone
petulant peevish pettish techy testy tetchy
parasitical leechlike parasitic
urea carbamide
stealthiness furtiveness sneakiness
twenty-seven xxvii
chafed galled
rewriting revising
striped stripy
kinkajou potto
ceaselessly incessantly unceasingly unendingly
cytoarchitectonic cytoarchitectural
tollhouse tolbooth tollbooth
spermatocide spermicide
maturement maturing
brogue brogan clodhopper
subversiveness traitorousness
email e-mail
sarcostyle myofibril myofibrilla
gonad ballock testicle testis
cockateel cockatiel
datable dateable
live-bearer poeciliid
booklover bibliophile
jingo flag-waver hundred-percenter jingoist
unpledged unpromised
half-slip petticoat underskirt
bangtail racehorse
loginess logginess
wainscoting wainscotting
hindmost backmost hindermost rearmost
caddicefly caddisfly
semitransparency translucence translucency
moist dampish
flatworm platyhelminth
big-shouldered broad-shouldered square-shouldered
abundantly copiously profusely
multicolored culticolour multicolor multicoloured particolored particoloured piebald pied
linchpin lynchpin
garotte garrotte
awestruck awestricken
desalinate desalinize desalt
whinberry blaeberry
illusionary illusional
maths math mathematics
islamism muslimism islam mohammedanism
vilification malignment
frolicky coltish frolicsome rollicking
satiety satiation
cornpone pone
sallet sallade
circumspectly cageyly cagily
minibike motorbike
lightening whitening
tamandua tamandu
disgracefully discreditably dishonourably ignominiously ingloriously shamefully
sniffy haughty
toupee toupe
oxford-gray oxford-grey
plausibly credibly
patinate patinize
trampled trodden
misdeed misbehavior misbehaviour
pseudohermaphrodite pseudohermaphroditic
monochromic monochromous
hydrodynamics hydrokinetics
bagascosis bagassosis
invisibility invisibleness
tues tuesday
achaean achaian
unprovoking unprovocative
whatsis sundries whatchamacallit
extemporaneously extemporarily
abduce adduce
nictitate nictate
monochromous monochromic
ennead niner
accenting emphasizing
slacking shirking
cavort rollick
offsetting compensative compensatory
supplementary supplemental
horsey horsy
contrafagotto contrabassoon
carunculated carunculate
archaebacterium archaebacteria archaeobacteria
grigri greegree gres-gris
chlorophyl chlorophyll
inaudibleness inaudibility
watercolourist watercolorist
melamine cyanuramide
scrupulously conscientiously
purchaser buyer emptor vendee
quotidian unremarkable workaday
rhizopod rhizopodan
beelzebub satan
googly bosie
pithecolobium pithecellobium
trachodont trachodon
anura batrachia salientia
buirdly beefy burly strapping
batholite batholith pluton
cemetery graveyard necropolis
shareowner shareholder stockholder
jinks hijinks
batholith batholite pluton
cinchona chinchona
desirableness desirability
faze unnerve unsettle
hyperoartia petromyzoniformes
scarecrow strawman
phillidae phyllidae
cambodia kampuchea
valetta valletta
barefoot barefooted
progressiveness progressivity
panic-struck panic-stricken panicked panicky terrified
coalescence coalescency
washwoman laundress laundrywoman washerwoman
rickety wobbly
hamito-semitic afrasian afroasiatic
stooped hunched round-backed round-shouldered stooping
yummy pleasant-tasting scrumptious toothsome
sarcosporidian sarcocystidean sarcocystieian
oversimplified simplistic
fawner ass-kisser bootlicker groveller truckler
obstinance stubbornness obstinacy
genoese genovese
neighbourly neighborly
coalescency coalescence
horrendous direful dreaded fearsome
interschool interscholastic
isinglass mica
balibago purau
eyetooth cuspid
chipping splintering
discalceate discalced
loopy barmy bats batty bonkers crackers daft kookie kooky loco nuts
odd-pinnate imparipinnate
antimicrobic antimicrobial
thorazine chlorpromazine
morass quagmire
alienage alienism
oxford-grey oxford-gray
nuremburg nuernberg nurnberg
ballock gonad testicle testis
exothermal exothermic heat-releasing
massed amassed
meritorious meritable
informer squealer
ill-starred ill-fated ill-omened
clammy dank
branding stigmatisation stigmatization
schmaltz schmalz
pettifogging caviling nitpicking quibbling
chemosorption chemisorption
unrelenting relentless
writhing squirming wiggling wriggling wriggly
lapsing backsliding recidivism relapsing
contiguity adjacency contiguousness
readable decipherable
overutilisation overexploitation overutilization
behavioural behavioral
afficionado devotee
unelaborated sketchy
jinni djinni djinny genie jinnee
lamellibranchia bivalvia
radiosensitivity photosensitivity
validatory confirmative confirmatory corroborative corroboratory substantiating substantiative verificatory verifying
officiating officiation refereeing umpiring
readably decipherably legibly
six-shooter revolver six-gun
ceratin keratin
flat-top flat-topped
ignored unheeded
welkin firmament heavens
chalcidae chalcididae
dunce blockhead bonehead dunderhead fuckhead knucklehead lunkhead muttonhead numskull shithead
wayland wieland
pay-phone pay-station
lolling lounging
aviatress airwoman aviatrix
campanula bellflower
defamation calumny
trinitroglycerin nitroglycerin nitroglycerine
brazenness shamelessness
industrialization industrialisation
spermicide spermatocide
quahog quahaug
endodontia endodontics
ghastliness gruesomeness
rougeberry bloodberry
treachery perfidy
toscana tuscany
plaid tartan
officiation officiating refereeing umpiring
smiler physiognomy
contritely remorsefully ruefully
honeycombed alveolate cavitied faveolate pitted
wolfbane wolfsbane
farinaceous grainy granulose mealy
browned bronzed suntanned
calcedony chalcedony
handstitched handsewn
carunculate carunculated
motorboat powerboat
mithras mithra
tollon toyon
belorussia belarus byelarus byelorussia
dibranch dibranchiate
brynhild brunhild brunnhilde
nightwalker angleworm earthworm fishworm nightcrawler
self-activating self-acting self-moving self-regulating
padded cushioned cushiony
cradlesong lullaby
lascivious libidinous
vaquero buckaroo
unpalatability unpalatableness
legerity agility nimbleness
despising despisal
bataan corregidor
malediction imprecation
quarrelsomeness contentiousness pugnacity
jupati jupaty
resister crusader meliorist reformer
vacillator hesitater hesitator waverer
streptococci strep streptococcus
tajik tadjik tadzhik tadzhikistan tajikistan
reveler merrymaker reveller
vepsian vepse veps
meagrely sparingly
conjectural suppositional suppositious supposititious
dappled mottled
marriageable nubile
pacha pasha
jupaty jupati
old-fashioned outmoded
archangelical archangelic
lazio latium
specialization specialisation
stubbiness squatness
burlap gunny
lincolnian lincolnesque
paleodendrology palaeodendrology
lactobacillaceae lactobacteriaceae
bespoke tailor-made
vapidity vapidness
expansible expandable expandible
pestering bothersome galling pesky pestiferous vexatious
agrologic agrological
vainglory boastfulness
uttered verbalized
andalucia andalusia
reheated cooked-over warmed-over
yangtze chang
zymolysis fermenting
servility obsequiousness
cunner bergall
beachy beachlike
laboured labored
imperturbable unflappable
gayal mithan
glyptics lithoglyptics
elaborately intricately
shades sunglasses
reliability dependability dependableness reliableness
labourer laborer
adiposis corpulence
well-favoured better-looking fine-looking good-looking well-favored
oddments farrago melange mingle-mangle omnium-gatherum
gritstone gritrock
reniform kidney-shaped
capybara capibara
orchard woodlet
disgustingly revoltingly sickeningly
foregather forgather
centric centrical
magniloquence grandiloquence grandiosity
apse apsis
astonish astound
schmalzy bathetic maudlin mawkish schmaltzy
plentifulness plenitude plenteousness plentitude
decimalization decimalisation
polychaete polychete
tunnage tonnage
embrocation liniment
sulfacetamide sulamyd
strapping beefy buirdly burly
matte matt
hagiographa writings
svizzera schweiz suisse switzerland
sphenopsida equisetatae
szechuan sichuan szechwan
scurvily basely
truce armistice cease-fire
sanctimony sanctimoniousness
unprotectedness defencelessness defenselessness
jollification merrymaking
autoeroticism autoerotism
chemosorptive chemisorptive
unascribable unattributable
arillate ariled
crashing bally
friability crumbliness
atheromatic atheromatous
rejig re-equip
immunized vaccinated
disco discotheque
exothermic exothermal heat-releasing
undiscriminating indiscriminating
prognathous hypognathous prognathic
unassignable nontransferable untransferable
chlamyphore pichiciago pichiciego
urth urd
unpolitical apolitical
contrabandist mooncurser smuggler
bathyscaphe bathyscape bathyscaph
sportswoman sportsman
temptingly seductively
jesuitical jesuitic
appal appall
unequalled unequaled unparalleled
deviltry devilry
polymorphic polymorphous
numbly insensibly
coldheartedness hardheartedness heartlessness
centralist centralistic
lowerclassman underclassman
magnate tycoon
tangiers tangier
verrucose wartlike warty
pulpit ambo dais podium
spectroscopic spectroscopical
amen-ra amon-ra
husbandman farmer granger sodbuster
averment asseveration
unpropitiously inauspiciously
polybutene polybutylene
looted plundered ransacked
miniaturization miniaturisation
offsaddle unsaddle
entrap ensnare
fawning bootlicking sycophantic toadyish
nominee campaigner
tremendously enormously hugely staggeringly
intruder interloper trespasser
aglet aiglet
tricentennial tricentenary
quamash camas camash camass camosh
looter despoiler freebooter pillager plunderer
well-meant well-intentioned
cutch kutch
numerousness numerosity
nightjar caprimulgid goatsucker
azerbaijan azerbajdzhan
amusingly divertingly
stuttering stammering
thyrotrophin tsh
anuretic anuric
actinotherapy irradiation radiotherapy
sodomy buggery
diplopoda myriapoda
rinkhals ringhals
invented fabricated fancied
cardhouse cardcastle
accustom habituate
hornfels hornstone
siwan sivan
theorise hypothesize theorize
clickety-clack clickety-click
slowing deceleration
tush buns buttocks derriere fanny keister prat tooshie
brunnhilde brunhild brynhild
lachrymation lacrimation
hemipode buttonquail
tianjin tientsin
monocotyledonae liliopsida monocotyledones
theorist theoretician
accumbent decumbent recumbent
self-command willpower
fire-retardant fire-resistant fire-resisting fire-resistive
hoodlum thug
docker dock-walloper dockhand loader longshoreman lumper stevedore
proprionamide propanamide
myriameter mym myriametre
monogyny monogamousness monogamy
qualifier modifier
munich muenchen
behmen boehm boehme bohme
safety-deposit safe-deposit
sapid flavorful flavorous flavorsome flavourful flavourous flavoursome saporous
tendentious tendencious
pullout fallback
weltschmerz world-weariness
investigatory fact-finding investigative
marimba xylophone
switchboard patchboard plugboard
tooshie buns buttocks derriere fanny keister prat tush
tinkly tinkling
grotto grot
immobilisation immobilization immobilizing
interbreeding crossbreeding
semanticist semiotician
lichi leechee litchee lychee
ruffian hooligan roughneck yob yobbo yobo
myelin myeline
swallowed enveloped
impervious imperviable
parthenogeny parthenogenesis
chapped roughened
ashbin ashcan dustbin wastebin
internationalization internationalisation
serbia srbija
cefuroxime ceftin zinacef
dhak dak palas
reproving admonishing reproachful
navaho navajo
pissing peeing
seismologic seismological
footlights footlight
alienate disaffect
fugacious ephemeral short-lived transitory
bargee bargeman lighterman
matzo matzah matzoh
refrigerator icebox
cargo lading
unpeopled unpopulated
subroutine subprogram
reechoing echoing
newsperson newsman reporter
stupify stupefy
autoerotism autoeroticism
deuce-ace tercet ternion terzetto trine
too-greedy overgreedy
glutinousness gelatinousness glutinosity
posting mailing
agonise agonize
top-quality finest high-grade top-grade
proscribe disallow prohibit
piroshki pirogi pirozhki
bigfoot sasquatch
self-annihilation self-destruction
inflater inflator
canoeist paddler
megalp megilp
gibraltar calpe
fanweed stinkweed
acceptableness acceptability
navajo navaho
monocotyledones liliopsida monocotyledonae
linseed flaxseed
hand-held handheld
footprint footmark
communisation communization
enforced implemented
crenulated crenulate
persuadable convincible persuasible suasible
bell-bottomed bell-bottom
discreteness severalty
meat-eating flesh-eating zoophagous
gullet esophagus oesophagus
workmanship craftsmanship
schoolmarm schoolmistress
chequered checkered
acceptability acceptableness
raver ranter
marmara marmora
imputable ascribable referable
cutis tegument
dramamine dimenhydrinate
counselorship counsellorship
jinghpo chingpo jinghpaw
scrumptiously lusciously
besplashed bespattered
cycadofilicales lyginopteridales
offish standoffish
parasitic leechlike parasitical
akaryote acaryote akaryocyte
upsetting disconcerting
parenthetical parenthetic
gallberry inkberry
gayly blithely jubilantly merrily mirthfully
toasting browning
latticed interlaced latticelike
theorize hypothesize theorise
dojigger dohickey doodad doohickey gubbins thingamabob thingamajig thingmabob thingmajig thingumabob thingumajig thingummy
macabre grisly gruesome
foreknowledge precognition
cragged hilly
sawbill merganser
ndebele matabele
schoolmate classmate schoolfellow
ineffably indescribably unspeakably unutterably
frenchman frenchwoman
perspicaciousness shrewdness
rocklike granitelike
high-sounding high-flying
shophar shofar
oversize outsized oversized
fibrinolysin fibrinase plasmin
drosky droshky
wholehearted heart-whole whole-souled
fradicin neomycin
hindoostani hindostani
deadend cul
revaluation reappraisal reassessment
coenobitical cenobitic cenobitical coenobitic
washrag washcloth
stooping hunched round-backed round-shouldered stooped
laborsaving laboursaving
fatherland homeland motherland
ritenuto ritardando
spoilable decayable putrefiable putrescible
recasting rephrasing rewording
vitalizing life-giving
profitability profitableness
sentinel sentry
disillusionment disenchantment
clomiphene clomid
estivate aestivate
aerie eyrie eyry
myxobacteria myxobacter myxobacterium
sodding arrant double-dyed
palanquin planakeen
shirtwaister shirtwaist
bicolor bichrome bicolored bicolour bicoloured
clear-thinking clearheaded
hydnocarpus taraktagenos taraktogenos
caning wickerwork
immingle intermingle intermix
transmutable transformable
sulindac clinoril
bandanna bandana
schismatical schismatic
duplicable duplicatable
lacebark houhere
self-condemnation self-accusation
fesse fess
refreshed invigorated reinvigorated
aglow lambent lucent luminous
credulously believingly
secpar parsec
clocks alfilaria alfileria filaree
contriteness contrition
cuspidate cuspate cuspated cusped cuspidal cuspidated
enamor captivate enamour
precative precatory
aculeate aculeated
stench fetor foetor malodor malodour
ungrammatical ill-formed
pitch-dark pitch-black
bedecked decked
unpitying remorseless ruthless
taught instructed schooled tutored
threnody coronach dirge
muckheap muckhill
unwittingly inadvertently unknowingly
munda-mon-khmer austro-asiatic
thrombocyte platelet
venose veined veinlike
hooligan roughneck ruffian yob yobbo yobo
urinalysis uranalysis
implemented enforced
backbreaking grueling gruelling laborious labourious toilsome
attorney lawyer
pursuer chaser
cackly squawky
fattism fatism
kabob kebab
phylogeny phylogenesis
annapurna anapurna
manawyddan manawydan
faroese faeroese
loch lough
inkberry gallberry
gormandise englut engorge gormandize gourmandize ingurgitate overeat overgorge overindulge
tested tried
testee examinee
sandberry creashak mealberry
loco barmy bats batty bonkers crackers daft kookie kooky loopy nuts
agonize agonise
doofus dimwit nitwit
taboret tabouret
labelled labeled tagged
mistrustfully distrustfully
infolding intussusception invagination
bungalow cottage
sunlit sunstruck
unsatisfying dissatisfactory
ass-kisser bootlicker fawner groveller truckler
dustup run-in
succuba succubus
kudos congratulations
invagination infolding intussusception
ghostly apparitional ghostlike phantasmal
astronomical astronomic
cheliceral chelicerate
alabaman alabamian
kingly kinglike
cynthia artemis
formularize formulaize
broad-headed roundheaded short-headed
decentralization decentralisation
twinkly beamish
cornered trapped treed
diaglyph intaglio
emmental emmentaler emmenthal emmenthaler
curbstone kerbstone
rehearing relistening
teetotaler teetotalist teetotaller
ulcer ulceration
embed imbed
terrified panic-stricken panic-struck panicked panicky
muckle mickle
pliantness pliancy
playgoer theatergoer theatregoer
redheader carrottop
handbag pocketbook
spoondrift spindrift
thermometrograph thermograph
heftiness ponderosity ponderousness
cluttered littered
contraption gadget widget
flexion flection
inculpableness blamelessness guiltlessness inculpability
hotei-chiku gosan-chiku
clerisy intelligentsia
commandeer expropriate
irreproducible unreproducible
novocain novocaine
sirius canicula sothis
myriametre mym myriameter
nerve-wracking nerve-racking stressful
trainmaster yardmaster
niggling fiddling footling picayune piddling piffling
chthonic chthonian
disembark debark
popish papistic papistical romanist romish
dichloride bichloride
moulder molder
courier messenger
monetisation monetization
inflator inflater
distension distention
parrotfish pollyfish
shredded chopped
haughtiness arrogance
wedgies wedgie
bare-ass bare-assed peeled
somewhere someplace
ramblingly discursively
logo logotype
litter-bearer stretcher-bearer
naomi noemi
competently ably aptly capably
tumultuous disruptive
carbohydrate saccharide
somatesthesia somesthesia somaesthesia
purpose-built purpose-made
logy groggy stuporous
testis ballock gonad testicle
nauseant emetic vomitive
amativeness sexiness
self-aggrandisement self-aggrandizement
argumentatively disputatiously
shiksa shikse
shikse shiksa
kok-saghyz kok-sagyz
holier-than-thou pharisaic pharisaical sanctimonious self-righteous
unneeded unnecessary
secobarbital seconal
tulostomataceae tulostomaceae
scissortail muscivora-forficata
chortle chuckle
aricara arikara
thimerosal merthiolate
stammer stutter
celebrater celebrator
cd-wo cd-r
oceangoing seagoing
bosnia bosnia-herzegovina
palpitating palpitant
leg-pulling leg-pull
gynaecological gynecologic gynecological
dismissed fired laid-off pink-slipped
trepid timorous
arthritic rheumatoid
marxism-leninism bolshevism leninism marxism sovietism
moon-round moonlike
akaba aqaba
oversexed highly-sexed
eery eerie
mohammedan muhammadan
espana spain
apulia puglia
pierced punctured
blockhead bonehead dunce dunderhead fuckhead knucklehead lunkhead muttonhead numskull shithead
cooperator pardner
macedonia macedon
paleocortex archipallium
extralegal nonlegal
hottentot khoikhoi khoikhoin
haptically tactually
ink-black inky inky-black
flaxseed linseed
vapidness vapidity
democratization democratisation
leucocyte leukocyte
wiliness foxiness slyness
althea althaea
gormandize englut engorge gormandise gourmandize ingurgitate overeat overgorge overindulge
neoclassical neoclassic
scandalization scandalisation
ill-treated maltreated mistreated
basse-normandie lower-normandy
chagga chaga kichaga
nyasaland malawi
inevitableness inevitability
carelian karelian
afroasiatic afrasian hamito-semitic
prepubertal prepubescent
antagonise antagonize
synecdochic synecdochical
workbag workbasket workbox
seedsman seedman
visitant visitor
imposter faker impostor pretender pseud
rewriter redactor reviser
bromegrass brome
earshot earreach
low-spiritedness dispiritedness downheartedness
pederastic paederastic
piggishness hoggishness
unbeloved lovelorn
merrily blithely gayly jubilantly mirthfully
turkistan turkestan
paltering fibbing
starwort stitchwort
henceforth henceforward
pityingly compassionately
disenfranchised disfranchised voteless
personalize individualise
quelled squelched
agronomical agronomic
errant erring error-prone
disfranchise disenfranchise
dolour dolor
lolo yi
licenced accredited licensed
kurakkan coracan corakan ragee ragi
licencee licensee
recentness recency
kachinic kachin
resiny resinous
goods commodity
deoxyephedrine meth methamphetamine methedrine
thibet sitsang tibet
stonecutter stonemason
norway noreg norge
soberly staidly
flavorous flavorful flavorsome flavourful flavourous flavoursome sapid saporous
goody kickshaw
atopognosia atopognosis
appositive appositional
panetela panatela panetella
tsaritsa czarina czaritza tsarina tzarina
acculturational acculturative
cladophyll cladode phylloclad phylloclade
acaracide acaricide
chinch bedbug
moreover furthermore
ginkgopsida ginkgophyta ginkgophytina
baccilar bacilliform baculiform
atopognosis atopognosia
magyarorszag hungary
phylloquinone phytonadione
albuminuria proteinuria
atomistical atomistic
shield-shaped peltate
petting cuddling fondling hugging kissing smooching snuggling
unanswered unreciprocated unrequited
mamilla mammilla nipple teat
penman scribbler
abridgement abridgment
consequent ensuant resulting
cross-link cross-linkage
grindle bowfin
self-effacement effacement
fraternisation fraternization
go-around wave-off
chlorpromazine thorazine
abolitionist emancipationist
utilisation utilization
matriarchate matriarchy
claptrap blah bombast
pericardiac pericardial
nonmandatory nonobligatory
equisetatae sphenopsida
punkey no-see-um punkie punky
akaryocyte acaryote akaryote
matrimonial marital
disreputability disreputableness unrespectability
pericardial pericardiac
jesuitic jesuitical
acokanthera acocanthera
copyedit copyread subedit
goofy cockamamie cockamamy
damar dammar
geostationary geosynchronous
cheiloschisis harelip
newsvendor newsagent newsdealer
horridly hideously
rarely seldom
takings proceeds
ameboid amoeboid
photoelectric photoelectrical
momentary momentaneous
unshaken undismayed
cobbling shoemaking
unflurried unflustered unperturbed
daunted bothered fazed
off-the-shelf off-the-rack ready-to-wear
benzol benzene benzine
radiology radioscopy
robotlike automatonlike machinelike
inchoate incipient
brachypterous short-winged
tickseed coreopsis tickweed
perilousness hazardousness
interlinking interlacing interwoven
shogunate authoritarianism caesarism dictatorship monocracy stalinism
wherefrom whence
purpose-made purpose-built
unaggressive nonaggressive
tenebrous tenebrific tenebrious
shadowgraph radiograph skiagram skiagraph
serpentine snaky
anthophyta angiospermae magnoliophyta
scotchwoman scotswoman
hated despised detested scorned
self-loving narcissistic
genie djinni djinny jinnee jinni
ideogram ideograph
colander cullender
hesitater hesitator vacillator waverer
warlpiri walbiri
fetal foetal
sketchblock sketchbook
inbound arriving
boozer dipsomaniac
christlike christly
archesporium archespore
magnetisation magnetization
fiddler violinist
issuance issuing
surfriding surfboarding surfing
ninigi ninigino-mikoto
ballpen ballpoint biro
mohave mojave
magyar hungarian
iguassu iguazu
paysheet payroll
brachytactyly brachydactylia
basketweaver basketmaker
unsymbolic nonrepresentative
euclidean euclidian
self-destruction self-annihilation
punkie no-see-um punkey punky
mouselike mouse-colored
antagonize antagonise
bialy bialystoker
bambino toddler
undesiring undesirous
doctoral doctorial
upthrow upthrust
nicker whicker
breiz bretagne brittany
umpteen umteen
majolica maiolica
hijacker highjacker
pettish peevish petulant techy testy tetchy
deafening earsplitting
morphine morphia
albinistic albinal albinic albinotic
celebrator celebrater
auriferous gold-bearing
anachronistic anachronic anachronous
kidney-shaped reniform
borshch borsch borscht borsh borsht bortsch
diflunisal dolibid
crystallization crystallisation
adrenalin adrenaline epinephrin epinephrine
chophouse steakhouse
streptococcus strep streptococci
furthermore moreover
arboriform arborescent arboresque dendriform dendroid dendroidal tree-shaped treelike
mesmeric mesmerizing spellbinding
pauperism indigence penury
somnific somniferous
wicopy ropebark
anywhere anyplace
accoucheuse midwife
polyoestrous polyestrous
glutinosity gelatinousness glutinousness
castilla castile
frowzled disheveled dishevelled tousled
ashcan ashbin dustbin wastebin
typewritten typed
arytenoid arytaenoid
deary dearie ducky
someone somebody
loth loath
integrating desegregation
inoculating vaccinating
kovna kaunas kovno
lots dozens gobs lashings loads oodles piles rafts scads scores slews tons wads
furthermost farthermost
frumpy frumpish
cryesthesia cryaesthesia
lanchou lanchow lanzhou
sky-blue cerulean
lanchow lanchou lanzhou
kovno kaunas kovna
forecaster predictor prognosticator soothsayer
tabulate tabularise tabularize
brainsick demented unhinged
cordarone amiodarone
impostor faker imposter pretender pseud
pallas athena
hindermost backmost hindmost rearmost
discoloured discolored
earpiece earphone headphone
catabolism katabolism
vertiginous woozy
pyrexia febricity feverishness
vulpine vulpecular
lout klutz lummox oaf
denouncement denunciation
inoculation vaccination
peliosis purpura
chekhov chekov
jaggery jaggary jagghery
chameleon chamaeleon
yautia malanga spoonflower tannia
decimalise decimalize
calycinal calyceal calycine
relative-in-law in-law
detailing particularization
clean-handed guiltless
unfeelingness callousness
doctrine ism
macrocephaly megacephaly megalocephaly
somniferous somnific
amassed massed
goalkeeper goalie goaltender netkeeper
midline midplane
smoothed smoothened
palmistry chiromancy
wickerwork caning
dreamland dreamworld
genoa genova
beldame beldam
goony gooney goonie
whitening lightening
minocin minocycline
phenylethylene cinnamene styrene vinylbenzene
stodgily stuffily
addlebrained addlepated muddleheaded puddingheaded
smoother sander
dateable datable
deep-eyed hollow-eyed sunken-eyed
gabbling blathering blithering
uncondensed unconcentrated
boner blooper boo-boo foul-up misdoing
ashir ashur
bones castanets clappers maraca
peeing pissing
ugric ugrian
disgustingness nauseatingness sickeningness unsavoriness
brent brant
credential credentials
suboceanic subocean
modishness chicness stylishness
unarmoured unarmored
eagre aegir
northeaster noreaster
needlework needlecraft
anemometric anemometrical
villoma papilloma
chaetognathan chaetognathous
grabby avaricious
clivers catchweed cleavers
yobbo hooligan roughneck ruffian yob yobo
jesuitry jesuitism
favourableness advantageousness favorableness
sniffling sniffly snuffling snuffly
smothering suffocating suffocative
thysanopter thysanopteron
parsimony parsimoniousness
overweary overfatigue overtire
selflessly altruistically
brutishly bestially
off-center off-centered
unmedicinal nonmedicinal unmedical unmedicative
self-destructive suicidal
manliness manfulness
outward-bound departing outbound
fetid foetid foul-smelling smelly
shrewish nagging
rumania romania roumania
freebooter despoiler looter pillager plunderer
cohoe coho
underclassman lowerclassman
microcephalic microcephalous nanocephalic
maharaja maharajah
brokenheartedness heartache heartbreak
renunciant renunciative self-abnegating
betweeenbrain diencephalon interbrain thalmencephalon
substantiated corroborated
kittul kitul
unlaurelled unlaureled
orthopedical orthopaedic orthopedic
unwisely foolishly
micromicron picometer picometre
boatman waterman
snippet snipping
syph syphilis
barbarise barbarize
workbox workbag workbasket
snips tinsnips
anthropophagite anthropophagus cannibal
siemens mho
immovableness immovability
tumor neoplasm tumour
edirne adrianople adrianopolis
car-mechanic auto-mechanic
rayons nylons
currentness up-to-dateness
immatureness immaturity
downed felled
stamboul constantinople istanbul stambul
bigmouthed blabby
unnilpentium hahnium unnilquintium unp
smoothie smoothy
saxegothea saxe-gothea
vilnius vilna vilno
discourteously impolitely rudely
quaalude methaqualone
noblewoman peeress
petrous stonelike
dozens gobs lashings loads lots oodles piles rafts scads scores slews tons wads
hesitator hesitater vacillator waverer
sifting winnowing
softy softie
whidah whydah
accouter accoutre
periwig peruke
trifoliated trifoliate trifoliolate
great-aunt grandaunt
anaprox aflaxen aleve
prototypal archetypal archetypical prototypic prototypical
logician logistician
abdominousness paunchiness
prongbuck pronghorn
trickily craftily foxily knavishly slyly
amebous ameban amebic amoeban amoebic amoebous
dopamine dopastat intropin
defrayment defrayal
graspable apprehensible
goosy dopey dopy gooselike goosey
effulgence radiancy refulgence refulgency
musclebuilding bodybuilding
flattened planate
stripper ecdysiast stripteaser
gypsy romany
marbleized marbled
micronase diabeta glyburide
pennoncel pennoncelle penoncel
tralatitious handed-down
tyrannosaur tyrannosaurus
kirgizstan kirghizia kirghizstan kirgizia kyrgystan
esthetically aesthetically
vulcanite ebonite
amyotrophia amyotrophy
amenorrheal amenorrheic amenorrhoeal amenorrhoeic
fasiculus fascicle fascicule
chiropody podiatry
sapraemia sapremia
reticulation meshwork
misdemeanor infraction misdemeanour
mawkish bathetic maudlin schmaltzy schmalzy
caroller caroler
valiantly valorously
pinafore pinny
stripteaser ecdysiast stripper
decimalize decimalise
noemi naomi
tussah tusseh tusser tussore tussur
gristle cartilage
gibbose gibbous
mingle-mangle farrago melange oddments omnium-gatherum
corroborative confirmative confirmatory corroboratory substantiating substantiative validatory verificatory verifying
maharani maharanee
tetrad quatern quaternion quaternity
babiroussa babirusa babirussa
excrement excreta
sixer hexad sextuplet sise
pneumonic pulmonary pulmonic
gristly cartilaginous
viverridae viverrinae
jockstrap suspensor
harbour harbor
stenographical stenographic
footrest footstool
reprocess reuse
never-say-die indomitable unsubduable
fine-tooth fine-toothed
primly prissily
phlegmatic phlegmatical
serviceability serviceableness usableness
boogeyman bogeyman bugbear
sinequan adapin doxepin
snuffly sniffling sniffly snuffling
crocodylia crocodilia
detoxicate detoxify
stressful nerve-racking nerve-wracking
haematoma hematoma
flecked specked speckled stippled
mariner gob jack-tar seafarer seaman
prozac fluoxetine
wriggle squirm
libidinous lascivious
fettered shackled
ideograph ideogram
legislating lawmaking
thruway expressway freeway motorway superhighway throughway
pontiff pope
word-of-mouth viva-voce
amortisation amortization
corbie-step corbiestep
apostatise apostatize
fetor foetor malodor malodour stench
sororal sisterlike sisterly
chloramine chloramine-t
sneezing sternutation
jailbreak breakout gaolbreak prison-breaking prisonbreak
wriggly squirming wiggling wriggling writhing
bellhop bellboy bellman
undiscipline indiscipline
high-toned high-class
imperturbableness imperturbability
inexactitude inexactness
babirusa babiroussa babirussa
tirol tyrol
gibbous gibbose
colewort borecole
selvedge selvage
nursed suckled
mummer mimer pantomimer pantomimist
hearable audible
unnumbered countless innumerable innumerous multitudinous numberless uncounted unnumberable unnumerable
rambutan rambotan
tritanopia blue-blindness
artsy-craftsy arty-crafty
tritanopic blue-blind
